Latitude,Longitude,City,Country Code,Temp,Temp Max,Temp Min,City ID,Wind Speed,Humidity,Cloudiness,Date
-28.65,153.6167,byron bay,au,43.36,44.87,35.71,2172880.0,13.0,68.0,30.0,07/21/2021
-21.4803,-56.1381,jardim,br,84.72,84.72,84.72,3460087.0,4.21,11.0,0.0,07/21/2021
-42.8794,147.3294,hobart,au,47.07,48.92,44.11,2163355.0,1.01,80.0,40.0,07/21/2021
49.7816,14.687,benesov,cz,69.64,71.69,67.5,3079508.0,6.31,63.0,35.0,07/21/2021
,,nguiu,au,,,,,,,,07/21/2021
4.423,-7.3528,tabou,ci,78.96,78.96,78.96,2281120.0,6.38,70.0,86.0,07/21/2021
7.9803,49.8164,eyl,so,81.9,81.9,81.9,60019.0,21.74,67.0,99.0,07/21/2021
-15.9387,-5.7168,jamestown,sh,65.82,65.82,65.82,3370903.0,20.49,77.0,91.0,07/21/2021
,,taolanaro,mg,,,,,,,,07/21/2021
,,taolanaro,mg,,,,,,,,07/21/2021
37.7167,-25.4333,vila franca do campo,pt,72.01,72.01,72.01,3372472.0,11.03,64.0,23.0,07/21/2021
-21.2078,-159.775,avarua,ck,73.45,73.45,73.45,4035715.0,5.75,94.0,8.0,07/21/2021
64.3833,-173.3,provideniya,ru,41.83,41.83,41.83,4031574.0,7.16,81.0,100.0,07/21/2021
-33.9258,18.4232,cape town,za,49.66,53.1,47.88,3369157.0,1.99,62.0,99.0,07/21/2021
,,nizhneyansk,ru,,,,,,,,07/21/2021
65.6145,-37.6368,tasiilaq,gl,44.76,44.76,44.76,3424607.0,3.36,97.0,99.0,07/21/2021
48.937,34.4786,tsarychanka,ua,72.23,72.23,72.23,691155.0,15.03,81.0,75.0,07/21/2021
38.5167,-28.7,ribeira grande,pt,73.8,73.8,73.8,3372707.0,16.11,60.0,20.0,07/21/2021
15.7432,-96.4661,pochutla,mx,92.82,92.82,92.82,3517970.0,4.74,51.0,22.0,07/21/2021
,,attawapiskat,ca,,,,,,,,07/21/2021
64.3833,-173.3,provideniya,ru,41.83,41.83,41.83,4031574.0,7.16,81.0,100.0,07/21/2021
-34.4187,19.2345,hermanus,za,44.8,47.89,44.8,3366880.0,21.18,67.0,94.0,07/21/2021
-20.4081,57.7,mahebourg,mu,71.26,71.26,71.26,934322.0,22.06,73.0,91.0,07/21/2021
-35.2613,174.1236,russell,nz,57.24,57.24,57.24,2188874.0,10.71,96.0,100.0,07/21/2021
,,amderma,ru,,,,,,,,07/21/2021
66.7131,27.4306,kemijarvi,fi,51.69,51.69,51.69,653272.0,8.21,71.0,99.0,07/21/2021
-21.3585,55.7679,saint-philippe,re,68.34,69.39,67.21,935215.0,19.6,83.0,65.0,07/21/2021
,,taolanaro,mg,,,,,,,,07/21/2021
,,codrington,ag,,,,,,,,07/21/2021
-20.3428,57.7575,bambous virieux,mu,71.22,71.22,71.22,1106677.0,21.99,73.0,97.0,07/21/2021
49.6668,-103.8511,weyburn,ca,81.72,81.72,81.72,6179652.0,7.65,46.0,14.0,07/21/2021
47.6666,-52.7314,torbay,ca,56.73,60.76,54.68,6167817.0,13.8,97.0,90.0,07/21/2021
71.0357,27.8492,mehamn,no,44.55,46.58,44.51,778707.0,23.02,81.0,90.0,07/21/2021
65.4167,-52.9,maniitsoq,gl,45.19,45.19,45.19,3421982.0,5.82,78.0,24.0,07/21/2021
69.4541,-133.0374,tuktoyaktuk,ca,60.78,60.78,60.78,6170031.0,5.53,63.0,5.0,07/21/2021
63.7506,-68.5145,iqaluit,ca,41.7,42.53,41.7,5983720.0,8.01,86.0,90.0,07/21/2021
,,vaitupu,wf,,,,,,,,07/21/2021
69.4865,88.3972,talnakh,ru,56.7,56.7,56.7,1490256.0,3.06,55.0,6.0,07/21/2021
,,grand centre,ca,,,,,,,,07/21/2021
-9.8,-139.0333,atuona,pf,77.68,77.68,77.68,4020109.0,20.0,65.0,90.0,07/21/2021
46.4856,135.8833,vostok,ru,66.81,66.81,66.81,2013279.0,3.76,94.0,23.0,07/21/2021
-34.0033,24.7314,kruisfontein,za,45.88,45.88,45.88,986717.0,28.27,79.0,79.0,07/21/2021
-3.6667,152.4333,namatanai,pg,78.3,78.3,78.3,2090021.0,4.88,86.0,100.0,07/21/2021
77.484,-69.3632,qaanaaq,gl,37.13,37.13,37.13,3831208.0,12.8,99.0,100.0,07/21/2021
-14.4086,-56.4461,diamantino,br,92.95,92.95,92.95,3464724.0,5.41,15.0,2.0,07/21/2021
-42.4721,-73.7732,castro,cl,51.28,51.28,51.28,3896218.0,10.36,100.0,75.0,07/21/2021
,,mataura,pf,,,,,,,,07/21/2021
52.1408,-10.2689,dingle,ie,82.51,82.51,82.51,2964782.0,7.94,64.0,100.0,07/21/2021
-33.8667,121.9,esperance,au,53.44,53.44,53.44,2071860.0,25.64,74.0,87.0,07/21/2021
-15.9387,-5.7168,jamestown,sh,65.82,65.82,65.82,3370903.0,20.49,77.0,91.0,07/21/2021
