Latitude,Longitude,City,Country Code,Temp,Temp Max,Temp Min,City ID,Wind Speed,Humidity,Cloudiness,Date
31.6315,-8.0083,marrakesh,ma,102.27,102.27,102.27,2542997.0,6.91,21.0,40.0,07/21/2021
43.2956,132.4675,smolyaninovo,ru,72.86,72.86,72.86,2016402.0,2.55,97.0,18.0,07/21/2021
7.1962,5.5868,owo,ng,71.53,71.53,71.53,2325314.0,5.59,96.0,98.0,07/21/2021
49.5,-115.0687,fernie,ca,73.83,75.29,73.6,5952370.0,6.53,30.0,15.0,07/21/2021
12.485,-16.5469,oussouye,sn,86.09,91.58,86.09,2246901.0,9.31,68.0,100.0,07/21/2021
69.3497,87.7602,kayerkan,ru,54.95,54.95,54.95,1497337.0,6.02,57.0,33.0,07/21/2021
69.4541,-133.0374,tuktoyaktuk,ca,77.0,77.0,77.0,6170031.0,8.05,50.0,20.0,07/21/2021
-17.7125,-39.2481,caravelas,br,75.88,75.88,75.88,3466980.0,7.43,54.0,52.0,07/21/2021
-33.65,115.3333,busselton,au,51.04,51.04,47.08,2075265.0,7.65,82.0,85.0,07/21/2021
67.45,153.6833,srednekolymsk,ru,54.95,54.95,54.95,2121025.0,4.03,85.0,41.0,07/21/2021
-1.8675,-79.7994,esmeraldas,ec,87.8,88.74,87.8,3652065.0,2.98,44.0,29.0,07/21/2021
64.2539,-15.2082,hofn,is,59.02,59.02,59.02,2630299.0,8.05,72.0,0.0,07/21/2021
20.9,70.3667,veraval,in,82.87,82.87,82.87,1253237.0,23.91,84.0,100.0,07/21/2021
-34.4187,19.2345,hermanus,za,44.8,46.9,44.8,3366880.0,20.31,69.0,95.0,07/21/2021
-33.65,115.3333,busselton,au,51.04,51.04,47.08,2075265.0,7.65,82.0,85.0,07/21/2021
-4.6167,55.45,victoria,sc,78.06,78.06,78.06,241131.0,18.41,83.0,75.0,07/21/2021
19.7297,-155.09,hilo,us,71.73,81.28,71.33,5855927.0,6.91,94.0,90.0,07/21/2021
-46.6,168.3333,bluff,nz,45.81,45.81,45.81,2206939.0,13.31,73.0,100.0,07/21/2021
-21.2,-175.2,vaini,to,73.56,73.56,73.56,4032243.0,8.05,88.0,20.0,07/21/2021
-23.1203,-134.9692,rikitea,pf,72.18,72.18,72.18,4030556.0,20.58,65.0,61.0,07/21/2021
63.0128,112.4714,chernyshevskiy,ru,54.16,54.16,54.16,2025456.0,3.89,94.0,14.0,07/21/2021
-42.7826,147.0587,new norfolk,au,45.57,47.71,41.76,2155415.0,1.01,78.0,95.0,07/21/2021
-33.0153,27.9116,east london,za,59.94,59.94,59.94,1006984.0,9.22,21.0,0.0,07/21/2021
-46.6,168.3333,bluff,nz,45.81,45.81,45.81,2206939.0,13.31,73.0,100.0,07/21/2021
-20.4081,57.7,mahebourg,mu,71.89,71.89,71.26,934322.0,17.27,64.0,40.0,07/21/2021
71.2906,-156.7887,barrow,us,35.62,35.62,35.62,5880054.0,20.71,93.0,90.0,07/21/2021
68.75,161.3,cherskiy,ru,52.92,52.92,52.92,2126199.0,3.56,54.0,25.0,07/21/2021
-28.7667,114.6,geraldton,au,59.41,59.41,59.41,2070998.0,4.61,88.0,90.0,07/21/2021
-54.8,-68.3,ushuaia,ar,33.46,35.22,33.46,3833367.0,4.61,75.0,20.0,07/21/2021
62.9088,6.9145,bud,no,59.86,65.07,53.91,7626370.0,16.28,77.0,17.0,07/21/2021
-25.4,-70.4833,taltal,cl,63.25,63.25,63.25,3870243.0,4.32,61.0,20.0,07/21/2021
-10.75,34.9,matiri,tz,58.51,58.51,58.51,878041.0,3.96,76.0,15.0,07/21/2021
57.79,-152.4072,kodiak,us,54.91,54.91,54.91,5866583.0,5.75,88.0,90.0,07/21/2021
71.0357,27.8492,mehamn,no,44.55,46.58,44.51,778707.0,27.63,81.0,90.0,07/21/2021
-34.4187,19.2345,hermanus,za,44.8,46.9,44.8,3366880.0,20.31,69.0,95.0,07/21/2021
-29.8333,-51.15,sapucaia,br,64.71,74.41,62.19,3448031.0,1.99,50.0,0.0,07/21/2021
13.6017,26.6876,umm kaddadah,sd,80.01,80.01,80.01,364933.0,21.16,63.0,100.0,07/21/2021
11.2833,-15.8333,bubaque,gw,81.0,81.0,81.0,2374583.0,11.43,81.0,100.0,07/21/2021
5.2091,-1.0606,saltpond,gh,76.46,76.46,76.46,2295672.0,12.33,78.0,43.0,07/21/2021
-34.5322,20.0403,bredasdorp,za,45.72,45.72,44.28,1015776.0,9.22,81.0,86.0,07/21/2021
-42.8794,147.3294,hobart,au,46.76,48.06,42.12,2163355.0,1.01,80.0,82.0,07/21/2021
14.5333,20.9167,biltine,td,91.63,91.63,91.63,244878.0,7.87,38.0,92.0,07/21/2021
-21.2,-175.2,vaini,to,73.56,73.56,73.56,4032243.0,8.05,88.0,20.0,07/21/2021
